legal_or_display_name,ticker,sector,isin,status_as_of_2026-08-27,status_source_url,former_official_site,last_known_listing_or_disclosure_period,archive_coverage_status,notes
Kenya Re - Insurance Corporation Ltd,KNRE,INSURANCE,KE0000000604,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Liberty Kenya Holdings,LBTY,INSURANCE,,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Britam Holdings Plc.,BRIT,INSURANCE,KE2000002192,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Nairobi Securities Exchange Plc,NSE,INVESTMENT,KE3000009674,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
B.O.C Kenya Plc.,BOC,MANUFACTURING & ALLIED,KE0000000042,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
British American Tobacco Kenya Plc,BAT,MANUFACTURING & ALLIED,KE0000000075,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Carbacid Investments Plc,CARB,MANUFACTURING & ALLIED,KE0000000117,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
East African Breweries Ltd,EABL,MANUFACTURING & ALLIED,KE0000000216,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Mumias Sugar Co. Ltd,MSC,MANUFACTURING & ALLIED,KE0000000372,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Unga Group Ltd,UNGA,MANUFACTURING & ALLIED,KE0000000497,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Kenya Orchards Ltd,ORCH,MANUFACTURING & ALLIED,,Absent from current 66-row NSE page; historical candidate,https://cdsckenya.com/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Flame Tree Group Holdings Ltd,FTGH,MANUFACTURING & ALLIED,KE4000001323,Current NSE page,https://www.nse.co.ke/listed-companies/,,,See report index; historical status and completeness require issuer/NSE/CMA confirmation,Name enumerated from official CDSC listed-companies page; absence from current NSE page is not by itself proof of delisting.
Hutchings Biemer Ltd,HBL,,,Historical candidate; secondary status lead only,https://www.african-markets.com/en/stock-markets/nse/cma-pledges-to-delist-hutchings-biemer-a-baumann-from-nairobi-securities-exchange,,,Historical issuer universe gap,Named in a secondary report quoting CMA/NSE history; primary NSE/CMA status notice not yet located. Do not infer delisting from this lead alone.
A. Baumann Ltd,BAUM,,,Historical candidate; secondary status lead only,https://www.african-markets.com/en/stock-markets/nse/cma-pledges-to-delist-hutchings-biemer-a-baumann-from-nairobi-securities-exchange,,,Historical issuer universe gap,Named in a secondary report quoting CMA/NSE history; primary NSE/CMA status notice not yet located. Do not infer delisting from this lead alone.
CMC Holdings Ltd,CMC,,,Historical candidate; secondary status lead only,https://www.african-markets.com/en/stock-markets/nse/cma-pledges-to-delist-hutchings-biemer-a-baumann-from-nairobi-securities-exchange,,,Historical issuer universe gap,Named in a secondary report quoting CMA/NSE history; primary NSE/CMA status notice not yet located. Do not infer delisting from this lead alone.
Rea Vipingo Ltd,REA,,,Historical candidate; secondary status lead only,https://www.african-markets.com/en/stock-markets/nse/cma-pledges-to-delist-hutchings-biemer-a-baumann-from-nairobi-securities-exchange,,,Historical issuer universe gap,Named in a secondary report quoting CMA/NSE history; primary NSE/CMA status notice not yet located. Do not infer delisting from this lead alone.
Atlas Development & Support Services Ltd,ADSS,,,Historical candidate; secondary discovery lead only,https://en.wikipedia.org/wiki/Companies_traded_on_the_Nairobi_Securities_Exchange,,,Historical issuer universe gap,Named in a historical company-list discovery source; primary NSE/CMA listing and exit/status notice not yet located. Do not infer delisting from this lead alone.
Stanlib Fahari I-REIT,FAHR,,,Historical candidate; secondary discovery lead only,https://en.wikipedia.org/wiki/Companies_traded_on_the_Nairobi_Securities_Exchange,,,Historical issuer universe gap,Named in a historical company-list discovery source; primary NSE/CMA listing and exit/status notice not yet located. Do not infer delisting from this lead alone.
